1   This is a constant definition
3   This is a constant declaration
3   This is a parameters table
4   This is a factor
4   This is a item
4   This is an expression
4   This is a factor
4   This is a item
4   This is an expression
4   This is a condition
5   This is a factor
5   This is a item
5   This is an expression
5   This is a return statement
7   This is a factor
7   This is a factor
7   This is a item
7   This is a factor
7   This is a item
7   This is an expression
7   This is a value parameter table
7   This is a function call statement with return value 
7   This is a factor
7   This is a item
7   This is an expression
7   This is a return statement
8   This is a if statement
8   This is a statement column
8   This is a compound statement
10  This is a function definition with return value
10  This is a parameters table
11  This is a factor
11  This is a item
11  This is a factor
11  This is a factor
11  This is a factor
11  This is a item
11  This is an expression
11  This is a assign statement
13  This is a factor
13  This is a item
13  This is an expression
13  This is a return statement
14  This is a statement column
14  This is a compound statement
16  This is a function definition with return value
16  This is a parameters table
17  This is a variable definitions
19  This is a variable declaration
19  This is a factor
19  This is a item
19  This is an expression
19  This is a printf statement
20  This is a factor
20  This is a item
20  This is an expression
20  This is a printf statement
21  This is a factor
21  This is a item
21  This is an expression
21  This is a assign statement
22  This is a factor
22  This is a item
22  This is an expression
22  This is a assign statement
23  This is a factor
23  This is a item
23  This is an expression
23  This is a assign statement
24  This is a factor
24  This is a item
24  This is an expression
24  This is a printf statement
25  This is a factor
25  This is a item
25  This is an expression
25  This is a printf statement
26  This is a statement column
26  This is a compound statement
29  This is a function definition without return value
29  This is a parameters table
31  This is a variable definitions
32  This is a variable definitions
33  This is a variable definitions
34  This is a variable definitions
36  This is a variable declaration
36  This is a factor
36  This is a item
36  This is an expression
36  This is a assign statement
39  This is a factor
39  This is a item
39  This is an expression
39  This is a assign statement
40  This is a factor
40  This is a item
40  This is an expression
40  This is a assign statement
41  This is a factor
41  This is a item
41  This is an expression
41  This is a assign statement
44  This is a factor
44  This is a factor
44  This is a item
44  This is an expression
44  This is a factor
44  This is a factor
44  This is a item
44  This is an expression
44  This is a assign statement
45  This is a factor
45  This is a item
45  This is an expression
45  This is a factor
45  This is a item
45  This is an expression
45  This is a value parameter table
45  This is a function call statement with return value 
45  This is a factor
45  This is a item
45  This is an expression
45  This is a factor
45  This is a item
45  This is an expression
45  This is a condition
47  This is a factor
47  This is a item
47  This is a factor
47  This is a item
47  This is an expression
47  This is a assign statement
48  This is a factor
48  This is a item
48  This is a factor
48  This is a item
48  This is an expression
48  This is a assign statement
49  This is a factor
49  This is a item
49  This is an expression
49  This is a factor
49  This is a item
49  This is an expression
49  This is a condition
50  This is a printf statement
52  This is a factor
52  This is a item
52  This is an expression
52  This is a factor
52  This is a item
52  This is an expression
52  This is a assign statement
53  This is a if statement
53  This is a statement column
56  This is a if statement
56  This is a factor
56  This is a item
56  This is a factor
56  This is a item
56  This is an expression
56  This is a assign statement
57  This is a statement column
57  This is a factor
57  This is a item
57  This is an expression
57  This is a factor
57  This is a item
57  This is an expression
57  This is a condition
59  This is a while statement
59  This is a factor
59  This is a item
59  This is an expression
59  This is a factor
59  This is a item
59  This is an expression
59  This is a condition
61  This is a factor
61  This is a item
61  This is an expression
61  This is a printf statement
62  This is a factor
62  This is a item
62  This is an expression
62  This is a assign statement
65  This is a factor
65  This is a item
65  This is an expression
65  This is a factor
65  This is a item
65  This is an expression
65  This is a printf statement
66  This is a factor
66  This is a item
66  This is a factor
66  This is a item
66  This is an expression
66  This is a assign statement
67  This is a statement column
67  This is a factor
67  This is a item
67  This is an expression
67  This is a factor
67  This is a item
67  This is an expression
67  This is a condition
68  This is a while statement
68  This is a printf statement
69  This is a statement column
72  This is a if statement
72  This is a factor
72  This is a item
72  This is a factor
72  This is a item
